iso3,country,wb_region,wb_income_class,iso3_valid
ZMB,Zambia,Sub-Saharan Africa,Lower-Middle Income,True
IND,India,South Asia,Lower-Middle Income,True
TZA,Tanzania,Sub-Saharan Africa,Lower-Middle Income,True
MAR,Morocco,Middle East & North Africa,Lower-Middle Income,True
KEN,Kenya,Sub-Saharan Africa,Lower-Middle Income,True
BEL,Belgium,Europe & Central Asia,High Income,True
KOR,"Korea, Rep.",East Asia & Pacific,High Income,True
KHM,Cambodia,East Asia & Pacific,Lower-Middle Income,True
AGO,Angola,Sub-Saharan Africa,Lower-Middle Income,True
IRL,Ireland,Europe & Central Asia,High Income,True
LVA,Latvia,Europe & Central Asia,High Income,True
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower-Middle Income,True
IRQ,Iraq,Middle East & North Africa,Upper-Middle Income,True
ALB,Albania,Europe & Central Asia,Upper-Middle Income,True
AUS,Australia,East Asia & Pacific,High Income,True
USA,United States,North America,High Income,True
ITA,Italy,Europe & Central Asia,High Income,True
LBY,Libya,Middle East & North Africa,Upper-Middle Income,True
LKA,Sri Lanka,South Asia,Lower-Middle Income,True
ISR,Israel,Middle East & North Africa,High Income,True
VEN,"Venezuela, RB",Latin America & the Caribbean,Upper-Middle Income,True
ARM,Armenia,Europe & Central Asia,Upper-Middle Income,True
JAM,Jamaica,Latin America & the Caribbean,Upper-Middle Income,True
LBR,Liberia,Sub-Saharan Africa,Low Income,True
AUT,Austria,Europe & Central Asia,High Income,True
URY,Uruguay,Latin America & the Caribbean,High Income,True
VNM,Vietnam,East Asia & Pacific,Lower-Middle Income,True
LSO,Lesotho,Sub-Saharan Africa,Lower-Middle Income,True
ISL,Iceland,Europe & Central Asia,High Income,True
ARG,Argentina,Latin America & the Caribbean,Upper-Middle Income,True
JOR,Jordan,Middle East & North Africa,Upper-Middle Income,True
UGA,Uganda,Sub-Saharan Africa,Low Income,True
ZAF,South Africa,Sub-Saharan Africa,Upper-Middle Income,True
BDI,Burundi,Sub-Saharan Africa,Low Income,True
KWT,Kuwait,Middle East & North Africa,High Income,True
LUX,Luxembourg,Europe & Central Asia,High Income,True
KAZ,Kazakhstan,Europe & Central Asia,Upper-Middle Income,True
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower-Middle Income,True
LAO,Lao PDR,East Asia & Pacific,Lower-Middle Income,True
ARE,United Arab Emirates,Middle East & North Africa,High Income,True
YEM,"Yemen, Rep.",Middle East & North Africa,Low Income,True
UKR,Ukraine,Europe & Central Asia,Lower-Middle Income,True
JPN,Japan,East Asia & Pacific,High Income,True
AZE,Azerbaijan,Europe & Central Asia,Upper-Middle Income,True
LBN,Lebanon,Middle East & North Africa,Upper-Middle Income,True
LTU,Lithuania,Europe & Central Asia,High Income,True
CRI,Costa Rica,Latin America & the Caribbean,Upper-Middle Income,True
TCD,Chad,Sub-Saharan Africa,Low Income,True
TWN,Taiwan,East Asia & Pacific,High Income,True
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower-Middle Income,True
OMN,Oman,Middle East & North Africa,High Income,True
SLE,Sierra Leone,Sub-Saharan Africa,Low Income,True
CHN,China,East Asia & Pacific,Upper-Middle Income,True
ESP,Spain,Europe & Central Asia,High Income,True
NZL,New Zealand,East Asia & Pacific,High Income,True
SLV,El Salvador,Latin America & the Caribbean,Lower-Middle Income,True
CHL,Chile,Latin America & the Caribbean,High Income,True
EST,Estonia,Europe & Central Asia,High Income,True
NPL,Nepal,South Asia,Lower-Middle Income,True
SOM,Somalia,Sub-Saharan Africa,Low Income,True
CHE,Switzerland,Europe & Central Asia,High Income,True
ETH,Ethiopia,Sub-Saharan Africa,Low Income,True
NOR,Norway,Europe & Central Asia,High Income,True
FIN,Finland,Europe & Central Asia,High Income,True
SRB,Serbia,Europe & Central Asia,Upper-Middle Income,True
CAN,Canada,North America,High Income,True
NLD,Netherlands,Europe & Central Asia,High Income,True
FJI,Fiji,East Asia & Pacific,Upper-Middle Income,True
NIC,Nicaragua,Latin America & the Caribbean,Lower-Middle Income,True
SUR,Suriname,Latin America & the Caribbean,Upper-Middle Income,True
CAF,Central African Republic,Sub-Saharan Africa,Low Income,True
FRA,France,Europe & Central Asia,High Income,True
NGA,Nigeria,Sub-Saharan Africa,Lower-Middle Income,True
SVK,Slovak Republic,Europe & Central Asia,High Income,True
CIV,Côte d'Ivoire,Sub-Saharan Africa,Upper-Middle Income,True
SGP,Singapore,East Asia & Pacific,High Income,True
PAK,Pakistan,Middle East & North Africa,Lower-Middle Income,True
ECU,Ecuador,Latin America & the Caribbean,Upper-Middle Income,True
CYP,Cyprus,Europe & Central Asia,High Income,True
PRY,Paraguay,Latin America & the Caribbean,Upper-Middle Income,True
ROU,Romania,Europe & Central Asia,Upper-Middle Income,True
CPV,Cabo Verde,Sub-Saharan Africa,Lower-Middle Income,True
CZE,Czechia,Europe & Central Asia,High Income,True
PRT,Portugal,Europe & Central Asia,High Income,True
RUS,Russian Federation,Europe & Central Asia,Upper-Middle Income,True
COM,Comoros,Sub-Saharan Africa,Lower-Middle Income,True
DEU,Germany,Europe & Central Asia,High Income,True
POL,Poland,Europe & Central Asia,High Income,True
RWA,Rwanda,Sub-Saharan Africa,Low Income,True
COL,Colombia,Latin America & the Caribbean,Upper-Middle Income,True
BWA,Botswana,Sub-Saharan Africa,Upper-Middle Income,True
DJI,Djibouti,Middle East & North Africa,Lower-Middle Income,True
SAU,Saudi Arabia,Middle East & North Africa,High Income,True
COG,"Congo, Rep.",Sub-Saharan Africa,Lower-Middle Income,True
DNK,Denmark,Europe & Central Asia,High Income,True
